promo_signup_flag,cohort_month,month_offset,user_total
0,2025-01-01,0,14
0,2025-01-01,1,11
0,2025-01-01,2,13
0,2025-01-01,3,8
0,2025-01-01,4,10
0,2025-01-01,5,10
0,2025-02-01,0,14
0,2025-02-01,1,11
0,2025-02-01,2,11
0,2025-02-01,3,8
0,2025-02-01,4,12
0,2025-03-01,0,9
0,2025-03-01,1,11
0,2025-03-01,2,12
0,2025-03-01,3,11
0,2025-04-01,0,12
0,2025-04-01,1,8
0,2025-04-01,2,9
0,2025-05-01,0,9
0,2025-05-01,1,12
0,2025-06-01,0,12
1,2025-01-01,0,6
1,2025-01-01,1,2
1,2025-01-01,2,5
1,2025-01-01,4,1
1,2025-01-01,5,1
1,2025-02-01,0,8
1,2025-02-01,1,7
1,2025-02-01,2,4
1,2025-02-01,3,5
1,2025-02-01,4,3
1,2025-03-01,0,7
1,2025-03-01,1,8
1,2025-03-01,2,5
1,2025-03-01,3,3
1,2025-04-01,0,8
1,2025-04-01,1,3
1,2025-04-01,2,2
1,2025-05-01,0,12
1,2025-05-01,1,3
1,2025-06-01,0,11
